unidade;tarefa;caminho;status;quant_total;und;fonte
Sobrado 01;Chapisco interno - Superior - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Superior;aplicado;190,7;m²;Chapisco interno aplicado em alvenarias e estruturas de concreto, com colher de pedreiro. Argamassa traço 1:3 com preparo em betoneira 400 L esp = 5 mm
Sobrado 01;Reboco interno - Superior - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Superior;aplicado;134,1;m²;Reboco interno massa única c/ montagem e desmontagem de andaime para recebimento de pintura, em argamassa traço 1:6, preparo betoneira 400 L, aplicada manualmente em faces de paredes, espessura de 20 mm, com execução de taliscas.
Sobrado 01;Regularização com argamassa do piso -  Superior - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Superior;aplicado;49,15;m²;Contrapiso em argamassa traço 1:4 (cimento e areia grossa), preparo mecânico em betoneira aplicado em lajes ou lastro de concreto, incluso taliscamento - espessura = 2 cm
Sobrado 01;Requadro de vãos - Superior - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Superior;aplicado;62,3;m;Requadro de vãos, portas e janelas
Sobrado 01;Chapisco interno - Térreo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Térreo;aplicado;173,2;m²;Chapisco interno aplicado em alvenarias e estruturas de concreto, com colher de pedreiro. Argamassa traço 1:3 com preparo em betoneira 400 L esp = 5 mm
Sobrado 01;Reboco interno - Térreo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Térreo;aplicado;139,9;m²;Reboco interno massa única c/ montagem e desmontagem de andaime para recebimento de pintura, em argamassa traço 1:6, preparo betoneira 400 L, aplicada manualmente em faces de paredes, espessura de 20 mm, com execução de taliscas.
Sobrado 01;Lastro de Concreto magro do piso -  Térreo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Térreo;aplicado;79,19;m²;Lastro de concreto para piso ou radiers
Sobrado 01;Regularização com argamassa do piso -  Térreo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Térreo;aplicado;79,19;m²;Contrapiso em argamassa traço 1:4 (cimento e areia grossa), preparo mecânico em betoneira aplicado em lajes ou lastro de concreto, incluso taliscamento - espessura = 2 cm
Sobrado 01;Requadro de vãos - Térreo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS INTERNOS > Pav. Térreo;aplicado;39,1;m;Requadro de vãos, portas e janelas
Sobrado 01;Chapisco externo - Geral - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS EXTERNOS > Geral;aplicado;228,72;m²;soma de 2 itens (1.3.2.5.2.1, 1.3.3.4.2.1)
Sobrado 01;Reboco externo - Geral  - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS EXTERNOS > Geral;aplicado;228,72;m²;soma de 2 itens (1.3.2.5.2.2, 1.3.3.4.2.2)
Sobrado 01;Requadro de vigas e lajes - Geral - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS EXTERNOS > Geral;aplicado;32,28;m;soma de 2 itens (1.3.2.5.2.5, 1.3.3.4.2.3)
Sobrado 01;Lastro de Concreto magro do piso - Externo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS EXTERNOS > Geral;aplicado;11,48;m²;Lastro de concreto para piso ou radiers
Sobrado 01;Regularização com argamassa do piso - Externo - Casa 01;CASA 01 > REVESTIMENTOS ARGAMASSADOS EXTERNOS > Geral;pendente;;;
Sobrado 01;Eletrodutos e chumbamento caixinhas de luz - Superior - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Superior;pendente;;;
Sobrado 01;Fiação - Superior - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Superior;pendente;;;
Sobrado 01;Módulos e Quadro e disjuntores - Superior - Casa 01;CASA 01 > INSTALAÇÕES ELÉTRICAS > Superior;pendente;;;
